,Fecha,hm,Diff,Pantano,Latidud,Longuitud,lat,lon_x,name,lon_y,time,prec
37,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T08,0.0
38,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T09,0.0
39,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T10,0.0
40,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T11,0.0
41,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T12,0.0
42,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T13,0.0
43,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T14,0.0
44,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T15,0.0
45,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.461951,2021-11-07T16,0.0
46,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-07T17,0.0
47,07-11-2021  00:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-2.889717,2021-11-07T18,0.0
48,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T19,0.0
49,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T20,0.0
50,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T21,0.0
51,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T22,0.0
52,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-06T23,0.0
53,07-11-2021  06:00,13.72,0.00,abellan,37.31,-3.27,37.179935,-3.461951,D\xd3LAR,-3.563581,2021-11-07T00,0.0
